"","ortho","klatt","neighbors","degree","c"
"176","aconite","@kxnYt","@kxlYt;@mxnYt",2,0
"177","acorn","ekorn","korn;skorn",2,1
"178","acoustic","xkustIk","",0,NA
"179","acquaint","xkwent","kwent",1,NA
"180","acquiesce","@kwiEs","",0,NA
"181","acquire","xkwYr","kwYr;skwYr",2,1
"182","acquisition","@kwxzIS|n","",0,NA
"183","acquisitive","xkwIz|tIv","",0,NA
"184","acquit","xkwIt","xkwIp;kwIt",2,0
"185","acre","ekX","ek;nekX;okX",3,0
"186","acreage","ekXIJ","",0,NA
"187","acrid","@krxd","@rxd",1,NA
"188","acridity","@krId|ti","@rId|ti",1,NA
"189","acrimonious","@krxmonixs","",0,NA
"190","acrimony","@krxmoni","",0,NA
"191","acrobat","@krxb@t","",0,NA
"192","acrobatic","@krxb@tIk","@krxm@tIk;@krxb@tIks",2,0
"193","acrobatics","@krxb@tIks","@krxb@tIk",1,NA
"194","acronym","@krxnIm","",0,NA
"195","acrophobia","@krxfobix","",0,NA
"196","acropolis","xkrapLxs","nxkrapLxs",1,NA
"197","across","xkrcs","krcs;lxkrcs",2,0
"198","acrostic","xkrcstIk","",0,NA
"199","act","@kt","@ktX;@ft;@nt;@pt;@t;@ks;f@kt;p@kt;t@kt",9,0.25
"200","actinic","@ktInIk","",0,NA
"201","actinium","@ktInixm","",0,NA
"202","action","@kS|n","@S|n;ckS|n;f@kS|n",3,0
"203","activate","@kt|vet","",0,NA
"204","active","@ktIv","aktIv",1,NA
"205","activity","@ktIvxti","",0,NA
"206","actor","@ktX","@kt;@ftX;@stX;@tX;f@ktX",5,0.3
"207","actual","@kCuL","@kCuLi;f@kCuL",2,0
"208","actuality","@kCu@l|ti","",0,NA
"209","actually","@kCuLi","@kCuL",1,NA
"210","actuarial","@kCuEriL","@kCuEri",1,NA
"211","actuary","@kCuEri","@kCuEriL",1,NA
"212","actuate","@kCuet","",0,NA
"213","acuity","xkyu|ti","",0,NA
"214","acumen","xkyumxn","",0,NA
"215","acute","xkyut","xkyuz;kyut",2,0
"216","ad","@d","@dX;@dL;@dz;ed;@m;@n;@nd;@z;@S;@s;@t;b@d;k@d;d@d;f@d;g@d;h@d;Id;l@d;m@d;ad;od;p@d;s@d;S@d",25,0.27
"217","adage","@dIJ","",0,NA
"218","adagio","xdaJio","",0,NA
"219","adamant","@dxmxnt","@lxmxnt",1,NA
"220","adamantine","@dxm@ntin","",0,NA
"221","adapt","xd@pt","xdEpt;xdapt",2,1
"222","adaptability","xd@ptxbIl|ti","",0,NA
"223","adaptation","@d@pteS|n","",0,NA
"224","addendum","xdEndxm","",0,NA
"225","adder","@dX","@d;@dL;@dz;@tX;@ZX;YdX;l@dX;m@dX;odX",9,0.166666666666667
"226","addict","@d|kt","",0,NA
"227","addiction","xdIkS|n","xdIS|n;dIkS|n",2,0
"228","addition","xdIS|n","xdIkS|n;xdIS|nL;xdmIS|n;cdIS|n;IdIS|n",5,0.1
"229","additional","xdIS|nL","xdIS|n",1,NA
"230","additive","@d|tIv","",0,NA
"231","addle","@dL","@d;@dX;@dz;@JL;@pL;YdL;p@dL;s@dL",8,0.178571428571429
"232","address","@drEs","@drEsi;drEs",2,0
"233","addressee","@drEsi","@drEs",1,NA
"234","adduce","xdus","xdu;dus;Idus",3,0.333333333333333
"235","adept","xdEpt","xd@pt;xdapt",2,1
"236","adequate","@dIkw|t","",0,NA
"237","adhere","@dhIr","",0,NA
"238","adhesion","@dhiZ|n","",0,NA
"239","adieu","xdyu","xdu",1,NA
"240","adios","@dios","",0,NA
"241","adipose","@dxpos","",0,NA
"242","adiposity","@dxpas|ti","",0,NA
"243","adjacent","xJesNt","",0,NA
"244","adjectival","@JIktYvL","",0,NA
"245","adjective","@JIktIv","",0,NA
"246","adjoin","xJOn","xJRn;JOn",2,0
"247","adjourn","xJRn","xJOn",1,NA
"248","adjudge","xJ^J","J^J",1,NA
"249","adjudicate","xJudIket","",0,NA
"250","adjudication","xJudIkeS|n","",0,NA
"251","adjunct","@J^Gkt","",0,NA
"252","adjuration","@JXeS|n","@bXeS|n;@dXeS|n",2,1
"253","adjure","xJUr","xJar;xlUr;xmUr;xSUr",4,0.5
"254","adjust","xJ^st","J^st",1,NA
"255","adjutant","@Jxt|nt","",0,NA
"256","adjuvant","@Jxvxnt","",0,NA
"257","adman","@dm@n","",0,NA
"258","administer","xdmIn|stX","",0,NA
"259","administrative","xdmIn|stretIv","",0,NA
"260","administrator","xdmIn|stretX","",0,NA
"261","admirable","@dmXxbL","",0,NA
"262","admiral","@dmXL","",0,NA
"263","admiration","@dmXeS|n","@dXeS|n",1,NA
"264","admire","xdmYr","",0,NA
"265","admirer","@dmYrX","",0,NA
"266","admissible","xdmIsxbL","",0,NA
"267","admission","xdmIS|n","xdIS|n",1,NA
"268","admit","xdmIt","",0,NA
"269","admittance","xdmItNs","",0,NA
"270","admix","@dmIks","",0,NA
"271","admixture","@dmIksCX","",0,NA
"272","admonish","@dmanIS","",0,NA
"273","admonition","@dmxnIS|n","",0,NA
"274","admonitory","@dmanxtori","",0,NA
"275","ado","xdu","xdus;xdyu;xnu;du",4,0
"276","adobe","xdobi","",0,NA
"277","adolescence","@dxlEsNs","",0,NA
"278","adopt","xdapt","xd@pt;xdEpt",2,1
"279","adoptive","xdaptIv","",0,NA
"280","adorable","xdorxbL","",0,NA
"281","adoration","@dXeS|n","@bXeS|n;@JXeS|n;@dmXeS|n",3,0.333333333333333
"282","adore","xdor","xdorn;xSor",2,0
"283","adorn","xdorn","xdor",1,NA
"284","adrenal","xdrinL","",0,NA
"285","adrift","xdrIft","drIft",1,NA
"286","adroit","xdrOt","",0,NA
"287","adsorb","@dsorb","",0,NA
"288","adulation","@J|leS|n","@J|teS|n",1,NA
"289","adult","xd^lt","xk^lt",1,NA
"290","adulterant","xd^ltXxnt","",0,NA
"291","adulterate","xd^ltXet","",0,NA
"292","adultery","xd^ltXi","",0,NA
"293","adulthood","xd^lthUd","",0,NA
"294","adumbrate","@dxmbret","",0,NA
"295","adumbration","@d^mbreS|n","",0,NA
"296","advance","@dv@ns","",0,NA
"297","advantage","@dv@nt|J","",0,NA
"298","advantageous","@dv@nteJ|s","",0,NA
"299","Advent","@dvEnt","",0,NA
"300","adventitious","@dvxntIS|s","",0,NA
"301","adventure","xdvEnCX","",0,NA
"302","adverb","@dvRb","@dvRs;@dvRt",2,1
"303","adverbial","@dvRbiL","",0,NA
"304","adversary","@dvXsEri","",0,NA
"305","adversative","xdvRs|tIv","",0,NA
"306","adverse","@dvRs","@dvRb;@dvRt",2,1
"307","adversity","@dvRs|ti","",0,NA
"308","advert","@dvRt","@dvRb;@dvRs",2,1
"309","advertise","@dvXtYz","",0,NA
"310","advertisement","@dvXtYzmxnt","",0,NA
"311","advertising","@dvXtYzIG","",0,NA
"312","advice","xdvYs","xdvYz",1,NA
"313","advisable","xdvYzxbL","",0,NA
"314","advise","xdvYz","xdvYs",1,NA
"315","advisement","xdvYzmxnt","",0,NA
"316","advisory","xdvYzXi","",0,NA
"317","advocate","@dvxket","",0,NA
"318","adze","@dz","@d;@dX;@dL;@z;Ydz;adz",6,0.333333333333333
"319","aegis","iJ|s","",0,NA
"320","aeon","ixn","ivxn",1,NA
"321","aerate","Eret","kret;fret;gret;Yret;oret;pret;ret;tret",8,1
"322","aeration","EreS|n","nEreS|n;oreS|n",2,0
"323","aerial","@riL","@ri;@rix;oriL;riL",4,0.333333333333333
"324","aerialist","@riLxst","",0,NA
"325","aerie","Eri","Ero;@ri;Er;Eni;bEri;CEri;dEri;Edi;Iri;ErX;Evri;Yri;fEri;fri;mEri;SEri;Tri;tri;vEri",19,0.239766081871345
"326","aero","Ero","Eri;Erob;Er;@ro;kro;Eko;ErX;fro;gro;fEro;pro;ro;Tro;tro",14,0.351648351648352
"327","aerobe","Erob","Ero;prob;rob",3,0.333333333333333
"328","aerobic","ErobIk","",0,NA
"329","aerodrome","@rxdrom","",0,NA
"330","aeronaut","@rxnct","@rxnt",1,NA
"331","aeronautics","@rxnctIks","",0,NA
"332","aeroplane","@rxplen","",0,NA
"333","aerosol","@rIscl","",0,NA
"334","aerospace","@rospes","",0,NA
"335","aery","@ri","@bi;@riL;Eri;@li;@rix;@ro;@rM;@Si;k@ri;C@ri;Iri;Yri;f@ri;fri;h@ri;m@ri;p@ri;t@ri;Tri;tri;w@ri",21,0.238095238095238
"336","aesthete","EsTit","",0,NA
"337","aesthetic","EsTEtIk","",0,NA
"338","aestivate","Estxvet","",0,NA
"339","aestivation","EstxveS|n","EstxmeS|n",1,NA
"340","afar","xfar","xfEr;xfYr;xJar;far",4,0.166666666666667
"341","affability","@fxbIl|ti","",0,NA
"342","affable","@fxbL","@rxbL",1,NA
"343","affably","@fxbli","",0,NA
"344","affair","xfEr","xfar;xfYr;xwEr;fEr",4,0.166666666666667
"345","affect","xfEkt","IfEkt;xlEkt",2,0
"346","affectation","@fEkteS|n","",0,NA
"347","affection","xfEkS|n","xlEkS|n",1,NA
"348","afferent","@fXxnt","EfXxnt",1,NA
"349","affiance","xfYxns","",0,NA
"350","affidavit","@f|devxt","",0,NA
"351","affiliate","xfIliet","xfISiet",1,NA
"352","affinity","xfIn|ti","",0,NA
"353","affirm","xfRm","fRm",1,NA
"354","affirmation","@fXmeS|n","",0,NA
"355","affirmative","xfRmxtIv","",0,NA
"356","affix","xfIks","fIks",1,NA
"357","afflatus","xflet|s","",0,NA
"358","afflict","xflIkt","",0,NA
"359","affluence","@fluxns","",0,NA
"360","afford","xford","xbord;xkord;xword;ford",4,0.5
"361","affray","xfre","xfred;xre;fre",3,0.333333333333333
"362","affright","xfrYt","xrYt;frYt",2,1
"363","affront","xfr^nt","fr^nt",1,NA
"364","afghan","@fg@n","@fg@ni",1,NA
"365","afghani","@fg@ni","@fg@n",1,NA
"366","aficionado","xfISixnado","",0,NA
"367","afield","xfild","fild",1,NA
"368","afire","xfYr","xfar;xfEr;xtYr;fYr",4,0.166666666666667
"369","aflame","xflem","xklem;flem",2,0
"370","afloat","xflot","flot",1,NA
"371","aflutter","xfl^tX","fl^tX",1,NA
"372","afoot","xfUt","fUt",1,NA
"373","aforementioned","xformEnC|nd","",0,NA
"374","aforesaid","xforsEd","",0,NA
"375","afoul","xfWl","bxfWl;fWl",2,0
"376","afraid","xfred","xbred;xfre",2,0
"377","afresh","xfrES","frES",1,NA
"378","African","@frIk|n","",0,NA
"379","Afrikaans","@frIkans","",0,NA
"380","aft","@ft","@kt;@ftX;@nt;@pt;@t;d@ft;h@ft;cft;r@ft;S@ft",10,0.266666666666667
"381","after","@ftX","@ktX;@ft;@stX;@tX;r@ftX",5,0.3
"382","afterbirth","@ftXbRT","",0,NA
"383","aftermath","@ftXm@T","",0,NA
"384","afternoon","@ftXnun","",0,NA
"385","afterthought","@ftXTct","",0,NA
"386","afterward","@ftXwXd","",0,NA
"387","again","xgEn","",0,NA
"388","against","xgEnst","",0,NA
"389","agape","xgep","gep",1,NA
"390","Algerian","@lJIrixn","",0,NA
"391","agate","@gxt","@bxt",1,NA
"392","agave","xgavi","",0,NA
"393","age","eJ","es;ek;ed;el;em;ep;et;keJ;EJ;geJ;eC;peJ;reJ;seJ;RJ;weJ",16,0.366666666666667
"394","ageless","eJlxs","",0,NA
"395","agency","eJ|nsi","",0,NA
"396","agenda","xJEndx","",0,NA
"397","agent","eJ|nt","RJ|nt",1,NA
"398","agglomerate","xglamXet","",0,NA
"399","agglutinate","xglutNet","",0,NA
"400","aggrandize","xgr@ndYz","",0,NA
"401","aggrandizement","xgr@ndYzmxnt","",0,NA
"402","aggravate","@grxvet","",0,NA
"403","aggravation","@grxveS|n","",0,NA
"404","aggregate","@grIg|t","",0,NA
"405","aggregation","@grIgeS|n","",0,NA
"406","aggression","xgrES|n","xprES|n",1,NA
"407","aggrieve","xgriv","xgri;griv",2,0
"408","aghast","xg@st","xv@st",1,NA
"409","agile","@JL","@dL;@pL",2,1
"410","agility","xJIl|ti","xbIl|ti",1,NA
"411","agitate","@J|tet","@J|tetX;@n|tet",2,0
"412","agitation","@J|teS|n","@J|leS|n;@n|teS|n",2,0
"413","agitator","@J|tetX","@J|tet",1,NA
"414","agleam","xglim","glim",1,NA
"415","aglitter","xglItX","glItX",1,NA
"416","aglow","xglo","xgo;glo",2,0
"417","agnostic","@gnastIk","",0,NA
"418","ago","xgo","xglo;igo;go",3,0.333333333333333
"419","agog","xgag","",0,NA
"420","agonize","@g|nYz","",0,NA
"421","agony","@g|ni","",0,NA
"422","agora","@gXx","",0,NA
"423","agoraphobia","@gXxfobix","",0,NA
"424","agrarian","xgrErixn","",0,NA
"425","agree","xgri","xgriv;dxgri",2,0
"426","agricultural","@grIk^lCXL","@grIk^lCX",1,NA
"427","agriculture","@grIk^lCX","@grIk^lCXL",1,NA
"428","aground","xgrWnd","xrWnd;grWnd",2,1
"429","ague","egyu","",0,NA
"430","ahead","xhEd","xbEd;hEd",2,0
"431","ahoy","xhO","xnO",1,NA
"432","aid","ed","es;ek;@d;eJ;el;em;ep;et;fed;eC;Id;Jed;led;med;ad;od;ped;red;Sed;wed",20,0.326315789473684
"433","aigrette","egrEt","",0,NA
"434","ail","el","es;ek;eJ;ed;em;Yl;cl;ep;et;bel;del;Rl;il;El;fel;gel;Jel;eC;hel;Il;kel;mel;nel;Ol;Wl;pel;rel;sel;Sel;tel;vel;wel",32,0.354838709677419
"435","aileron","elXan","",0,NA
"436","ailment","elmxnt","",0,NA
"437","aim","em","es;ek;eJ;ed;el;@m;ep;et;kem;dem;fem;gem;eC;lem;Em;mem;nem;om;sem;Sem;tem",21,0.361904761904762
"438","air","Er","Eri;Ero;ar;bEr;kEr;CEr;dEr;Ir;Eb;EJ;El;ErX;EC;Ef;fEr;hEr;Wr;Yr;lEr;Em;mEr;En;or;pEr;rEr;Es;SEr;tEr;DEr;wEr",30,0.303448275862069
"439","aircraft","Erkr@ft","",0,NA
"440","airlift","ErlIft","",0,NA
"441","airliner","ErlYnX","",0,NA
"442","airmail","Ermel","",0,NA
"443","aisle","Yl","el;cl;Y;Yx;bYl;dYl;Rl;il;El;fYl;gYl;Ys;Il;Yr;lYl;mYl;Ol;Wl;pYl;rYl;tYl;vYl;wYl",23,0.351778656126482
"444","ajar","xJar","xJUr;xfar;Jar",3,0
"445","akimbo","xkImbo","",0,NA
"446","akin","xkIn","kIn;skIn",2,1
"447","alabaster","@l|b@stX","",0,NA
"448","alacrity","xl@krxti","",0,NA
"449","alarm","xlarm","",0,NA
"450","albacore","@lbxkor","",0,NA
"451","Albanian","@lbenixn","",0,NA
"452","albatross","@lbxtrcs","",0,NA
"453","albeit","@lbixt","",0,NA
"454","albinism","@lbxnIzM","",0,NA
"455","albino","@lbYno","",0,NA
"456","album","@lbxm","@lxm",1,NA
"457","albumen","@lbyumxn","",0,NA
"458","alcalde","@lkaldi","",0,NA
"459","alcazar","@lk@zX","",0,NA
"460","alchemical","@lkEmIkL","",0,NA
"461","alchemist","@lkxm|st","",0,NA
"462","alchemy","@lkxmi","",0,NA
"463","alcohol","@lkxhcl","",0,NA
"464","alcoholic","@lkxhclIk","",0,NA
"465","alcoholism","@lkxhclIzM","",0,NA
"466","alcove","@lkov","",0,NA
"467","alder","cldX","cltX;cld;EldX",3,0
"468","alderman","cldXmxn","",0,NA
"469","alee","xli","xle;@li;xlW;Rli;xlit;fli;gli;li;pli",9,0.444444444444444
"470","alehouse","elhWs","",0,NA
"471","alembic","xlEmbIk","",0,NA
"472","alert","xlRt","xlYt;xlIt;xlat;xsRt;xvRt;blRt;xlet;xlit;flRt",9,0.333333333333333
"473","Alexandrian","@lIgz@ndrixn","",0,NA
"474","alfalfa","@lf@lfx","",0,NA
"475","alfresco","@lfrEsko","",0,NA
"476","alga","@lgx","@lx",1,NA
"477","algae","@lJi","@lXJi;@li",2,0
"478","algebra","@lJ|brx","",0,NA
"479","algebraic","@lJ|breIk","",0,NA
"480","alias","elixs","elixn",1,NA
"481","alibi","@l|bY","",0,NA
"482","alien","elixn","elixs;evixn",2,0
"483","alienable","elixnxbL","",0,NA
"484","alienation","elixneS|n","",0,NA
"485","alienist","elixn|st","",0,NA
"486","alight","xlYt","xlRt;xlYk;xlYn;xlIt;xlYv;xlYd;xlat;xrYt;blYt;xlet;xlit;flYt;lYt;plYt;pxlYt;slYt",16,0.225
"487","alike","xlYk","xlYt;xlYn;xlYv;xlYd;lYk",5,0.6
"488","aliment","@lxmxnt","@dxmxnt;Elxmxnt",2,0
"489","alimentary","@lxmEntXi","ElxmEntXi",1,NA
"490","alimony","@lxmoni","",0,NA
"491","aline","xlYn","xlYt;xlYk;xlYv;xlYd;xlon;xsYn;lYn;mxlYn",8,0.214285714285714
"492","alit","xlIt","xlRt;xlYt;xlat;xlet;xlit;flIt;lIt;slIt",8,0.464285714285714
"493","alive","xlYv","xlYt;xlYk;xlYn;xlYd",4,1
"494","alkali","@lkxlY","@lkxlYz",1,NA
"495","alkalinity","@lkxlInEti","",0,NA
"496","alkalinize","@lkLxnYz","",0,NA
"497","alkalize","@lkxlYz","@lkxlY",1,NA
"498","alkaloid","@lkxlOd","",0,NA
"499","alkyd","@lkxd","",0,NA
"500","all","cl","el;Yl;ct;ck;cld;c;cn;bcl;kcl;Rl;il;El;fcl;gcl;hcl;Il;mcl;cf;Ol;Wl;pcl;Scl;tcl;wcl;ycl",25,0.31
"501","Allah","@lx","@lgx;@li;@lO;@lY;@lo;@lp;@lxm;k@lx",8,0.357142857142857
"502","allay","xle","xli;xlW;xre;xwe;kle;dxle;xlet;fle;le;mxle;ple;sle",12,0.196969696969697
"503","allegation","@lIgeS|n","lIgeS|n",1,NA
"504","allege","xlEJ","lEJ;plEJ;slEJ",3,1
"505","allegedly","xlEJ|dli","",0,NA
"506","allegiance","xliJ|ns","",0,NA
"507","allegorical","@lxgcrIkL","",0,NA
"508","allegory","@lxgori","",0,NA
"509","allegro","xlEgro","",0,NA
"510","alleluia","@lxluyx","h@lxluyx",1,NA
"511","allergen","@lXJ|n","",0,NA
"512","allergenic","@lXJEnIk","",0,NA
"513","allergic","xlRJIk","",0,NA
"514","allergist","@lXJ|st","",0,NA
"515","allergy","@lXJi","@lJi",1,NA
"516","alleviate","xliviet","",0,NA
"517","alleviation","xlivieS|n","",0,NA
"518","alley","@li","@bi;@ri;xli;@lJi;@lx;@lO;@lY;@lo;@lp;@Si;S@li;d@li;Rli;fli;g@li;gli;li;pli;r@li;s@li;t@li;v@li",22,0.216450216450216
"519","Allhallows","clh@loz","",0,NA
"520","alliance","xlY|ns","xplY|ns",1,NA
"521","allied","xlYd","xbYd;xlYt;xlYk;xlYn;xlYv;xlud;xlWd;xplYd;xsYd;kxlYd;glYd;slYd",12,0.136363636363636
"522","alligator","@lxgetX","",0,NA
"523","alliterate","xlItXet","xblItXet",1,NA
"524","alliteration","xlItXeS|n","",0,NA
